"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Djibouti","DJI","Surface area (sq. km)","AG.SRF.TOTL.K2","","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200",
"Dominica","DMA","Surface area (sq. km)","AG.SRF.TOTL.K2","","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750",
"Denmark","DNK","Surface area (sq. km)","AG.SRF.TOTL.K2","","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","43090","42920","42920","42920","42920","42920","42920","42920",
"Dominican Republic","DOM","Surface area (sq. km)","AG.SRF.TOTL.K2","","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670",
"Algeria","DZA","Surface area (sq. km)","AG.SRF.TOTL.K2","","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740",
"East Asia & Pacific (excluding high income)","EAP","Surface area (sq. km)","AG.SRF.TOTL.K2","","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16268180","16268180","16270220","16270300","16270300","16270300","16270300","16270300","16270300","16270300","16268960","16268970","16268970","16269640","16270550","16270580","16270600","16270600","16270590","16270580","16270580","16270580","16270580","16268700","16268704.375","16268753.125","16268762.5","16268766.484375","16270663.8671875","16270663.2421875","16270662.6171875","16270501.640625","16270502.265625","16270405.234375","16270408.2421875","16270422.265625","16270019.2578125","16270278.203125","16272876.25","16272875","16272875","16272875",
"Early-demographic dividend","EAR","Surface area (sq. km)","AG.SRF.TOTL.K2","","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142040","34142740","34142760","34142760","34135836.9995117","34135836.9995117","34135836.9995117","34135836.9995117","34108646.9995117","34108646.9995117","34108646.9995117","34108646.9995117","34108646.9995117","34108656.9995117","34106983.9990234","34106993.9990234","34106993.9990234","34107003.9990234","34107013.9990234","34107553.9990234","34107557.9911804","34107562.9911804","34107565.9912109","34107565.9912109","34105562.9872894","34108223.0537415","34108218.0537415","34108218.0537415","34108218.0537415",
"East Asia & Pacific","EAS","Surface area (sq. km)","AG.SRF.TOTL.K2","","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24820790","24820790","24822830","24822910","24822910","24822910","24822910","24822910","24822910","24822910","24821570","24821580","24821580","24822250","24824080","24824110","24824130","24824130","24824130","24824130","24824130","24824130","24824130","24822260","24822630.374999","24822745.1250005","24822786.49997","24822823.4843898","24824750.8672023","24824795.8422017","24824846.8171883","24824810.8406258","24824888.757813","24824926.9343448","24824937.1422029","24825078.1656098","24824794.5460629","24825074.4953275","24827697.6656246","24827743.4039211","24827743.4039211","24827743.4039211",
"Europe & Central Asia (excluding high income)","ECA","Surface area (sq. km)","AG.SRF.TOTL.K2","","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485557","23485558.875","23485628.875","23485628.875","23485638.875","23485638.875","23485628.875","23485628.875","23485628.875","23485628.875","23485628.875","23485628.875","23485628.875","23485648.875","23485648.875","23485648.875","23485648.875","23485648.875","23485647.8789063","23485657.8789063","23485657.8789063","23485657.8789063","23485667.8789063","23484493.875","23484497.8789063","23484498.875","23484498.875","23473611.875",
"Europe & Central Asia","ECS","Surface area (sq. km)","AG.SRF.TOTL.K2","","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362665.0273972","28362666.9014206","28362756.9014206","28362766.9014206","28362796.9014206","28362876.9014206","28431616.9014206","28431546.9014206","28431546.9014206","28463677.8779831","28463697.8779831","28464007.8779831","28464357.8779831","28464137.8779831","28464157.8779831","28464447.8779831","28464427.8779831","28464442.8779831","28464577.8828659","28464771.8770065","28464753.8838425","28462073.8838425","28702833.1807175","28701679.5772018","28701732.9658737","28701919.9775925","28701919.9775925","28691030.9775925",
"Ecuador","ECU","Surface area (sq. km)","AG.SRF.TOTL.K2","","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370",
"Egypt, Arab Rep.","EGY","Surface area (sq. km)","AG.SRF.TOTL.K2","","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450",
"Euro area","EMU","Surface area (sq. km)","AG.SRF.TOTL.K2","","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01953125","2725264.01855469","2725284.01855469","2725294.01855469","2725314.01855469","2725324.01855469","2725324.01855469","2725324.01855469","2725324.01855469","2757454.99511719","2757474.99511719","2757784.99511719","2758134.99511719","2757844.99511719","2757864.99511719","2758164.99511719","2758144.99511719","2758159.99511719","2758295.99609375","2758479.99023438","2758461.99707031","2758831.99707031","2759542.19238281","2759562.59277344","2759601.57714844","2759787.59277344","2759787.59277344","2759787.59277344",
"Eritrea","ERI","Surface area (sq. km)","AG.SRF.TOTL.K2","","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600",
"Spain","ESP","Surface area (sq. km)","AG.SRF.TOTL.K2","","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505000","505020","505320","505370","505370","505370","505370","505370","505370","505370","505600","505600","505940","505940","505940","505923.984375","505935","505935","505935",
"Estonia","EST","Surface area (sq. km)","AG.SRF.TOTL.K2","","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45340","45340","45340","45340","45340","45340",
"Ethiopia","ETH","Surface area (sq. km)","AG.SRF.TOTL.K2","","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300",
"European Union","EUU","Surface area (sq. km)","AG.SRF.TOTL.K2","","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01953125","4352774.01855469","4352794.01855469","4352804.01855469","4352824.01855469","4352904.01855469","4352904.01855469","4352834.01855469","4352834.01855469","4384964.99511719","4384984.99511719","4385294.99511719","4385644.99511719","4385414.99511719","4385434.99511719","4385724.99511719","4385704.99511719","4385719.99511719","4385855.99609375","4386039.99023438","4386021.99707031","4383341.99707031","4384062.19238281","4384082.59277344","4384131.57714844","4384317.59277344","4384317.59277344","4384317.59277344",
"Fragile and conflict affected situations","FCS","Surface area (sq. km)","AG.SRF.TOTL.K2","","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13173388.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13174268.000061","13171188.000061","13171188.000061","13171188.000061","13171188.000061","13170999.9922485","13170999.9922485","13170999.9922485","13157999.9922485","13157999.9922485","13147112.9922485",
"Finland","FIN","Surface area (sq. km)","AG.SRF.TOTL.K2","","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338440","338420","338420","338420","338420","338420","338420","338420","338420","338446.015625","338450","338450","338450",
"Fiji","FJI","Surface area (sq. km)","AG.SRF.TOTL.K2","","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270",
"France","FRA","Surface area (sq. km)","AG.SRF.TOTL.K2","","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.015625","549086.9921875","549086.9921875","549086.9921875","549386.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875","549086.9921875",
"Faroe Islands","FRO","Surface area (sq. km)","AG.SRF.TOTL.K2","","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516","1396.00006103516",
"Micronesia, Fed. Sts.","FSM","Surface area (sq. km)","AG.SRF.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700",
"Gabon","GAB","Surface area (sq. km)","AG.SRF.TOTL.K2","","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670",
"United Kingdom","GBR","Surface area (sq. km)","AG.SRF.TOTL.K2","","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610",
"Georgia","GEO","Surface area (sq. km)","AG.SRF.TOTL.K2","","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700",
"Ghana","GHA","Surface area (sq. km)","AG.SRF.TOTL.K2","","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540",
"Gibraltar","GIB","Surface area (sq. km)","AG.SRF.TOTL.K2","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",
"Guinea","GIN","Surface area (sq. km)","AG.SRF.TOTL.K2","","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860",
"Gambia, The","GMB","Surface area (sq. km)","AG.SRF.TOTL.K2","","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300",
"Guinea-Bissau","GNB","Surface area (sq. km)","AG.SRF.TOTL.K2","","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130",
"Equatorial Guinea","GNQ","Surface area (sq. km)","AG.SRF.TOTL.K2","","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050",
"Greece","GRC","Surface area (sq. km)","AG.SRF.TOTL.K2","","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960",
"Grenada","GRD","Surface area (sq. km)","AG.SRF.TOTL.K2","","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340",
"Greenland","GRL","Surface area (sq. km)","AG.SRF.TOTL.K2","","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450",
"Guatemala","GTM","Surface area (sq. km)","AG.SRF.TOTL.K2","","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890",
"Guam","GUM","Surface area (sq. km)","AG.SRF.TOTL.K2","","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540",
"Guyana","GUY","Surface area (sq. km)","AG.SRF.TOTL.K2","","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970",
"High income","HIC","Surface area (sq. km)","AG.SRF.TOTL.K2","","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678554.4430193","36678464.4430193","36678464.4430193","36678464.4430193","36678464.4430193","36678464.4430193","36678464.4430193","36678464.4430193","36678464.4430193","36678464.4430193","36678464.4430193","36678464.4430193","36679384.4430193","36679404.4420427","36679424.4420427","36679434.4420427","36679464.4420427","36679554.4420427","36748304.4420427","36748234.4420427","36748234.4420427","36783315.4186052","36783701.4186043","36784077.4186057","36784469.4185752","36784272.41862","36784332.41862","36784668.0186194","36784709.618606","36984339.618606","36984552.9117698","36984874.1136617","36984868.3205432","36982318.3205432","37227423.0056828","37227465.4100102","37227546.9182438","37228379.9065441","37228379.9065441","37227845.5065441",
"Hong Kong SAR, China","HKG","Surface area (sq. km)","AG.SRF.TOTL.K2","","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1080","1090","1090","1090","1090","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1105","1105.99998474121","1110","1110","1110",
"Honduras","HND","Surface area (sq. km)","AG.SRF.TOTL.K2","","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490",
"Heavily indebted poor countries (HIPC)","HPC","Surface area (sq. km)","AG.SRF.TOTL.K2","","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887541.000061","17887796.000061","17887796.000061","17887796.000061","17887796.000061","17887796.000061","17874796.000061","17874796.000061","17874796.000061",
"Croatia","HRV","Surface area (sq. km)","AG.SRF.TOTL.K2","","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56610","56610","56540","56540","56540","56540","56540","56540","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590","56590",
"Haiti","HTI","Surface area (sq. km)","AG.SRF.TOTL.K2","","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750",
"Hungary","HUN","Surface area (sq. km)","AG.SRF.TOTL.K2","","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030",
"IBRD only","IBD","Surface area (sq. km)","AG.SRF.TOTL.K2","","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71375196.015625","71373076.015625","71373076.015625","71375116.015625","71375106.015625","71375106.015625","71375106.015625","71375106.015625","71375106.015625","71375106.015625","71375106.015625","71373766.015625","71373776.015625","71373776.015625","71374446.015625","71374936.015625","71374967.890625","71374977.890625","71374977.890625","71374967.890625","71375027.890625","71375027.890625","71347767.890625","71347767.890625","71345887.890625","71345892.265625","71345941.015625","71345950.390625","71346014.375","71347911.7578125","71347901.1328125","71347900.5078125","71347739.53125","71345200.15625","71345115.1171875","71345118.125","71345130.1171875","71344550.1171875","71344808.125","71347406.171875","71348003.90625","71348003.90625","71348003.90625",
"IDA & IBRD total","IBT","Surface area (sq. km)","AG.SRF.TOTL.K2","","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96005534.015686","96003414.015686","96003414.015686","96005454.015686","96005444.015686","96005444.015686","96005444.015686","96005444.015686","96005444.015686","96005444.015686","96005444.015686","96004104.015686","96004114.015686","96004114.015686","96004784.015686","96006154.015686","96006185.890686","96006275.890686","95999352.8901978","95999352.8901978","95999412.8901978","95999402.8901978","95972142.8901978","95972142.8901978","95970262.8901978","95970267.2651978","95970316.0151978","95970325.3901978","95968716.3740845","95970613.756897","95970603.131897","95970602.506897","95970441.5303345","95967901.1592407","95967816.1201782","95968074.1279907","95968086.1201782","95967506.1201782","95965760.1240845","95968362.1748657","95955960.9053345","95955960.9053345","95945073.9053345",
"IDA total","IDA","Surface area (sq. km)","AG.SRF.TOTL.K2","","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24630338.000061","24631218.000061","24631218.000061","24631298.000061","24624374.9995728","24624384.9995728","24624384.9995728","24624374.9995728","24624374.9995728","24624374.9995728","24624374.9995728","24624374.9995728","24624374.9995728","24624374.9995728","24622701.9990845","24622701.9990845","24622701.9990845","24622701.9990845","24622701.9990845","24622701.0029907","24622701.0029907","24622956.0029907","24622956.0029907","24622956.0029907","24620951.9990845","24620956.0029907","24607956.9990845","24607956.9990845","24597069.9990845",
